#This file is Chinese collocation file
#Lines start with # are comments and will be ignored
#This file is used to extract the check-point of S:Collocation in C2E task
#The format is: [Chiese word 1]~[Pos 1]:Relation:[Pos 2]~[Chinese word 2] [English parts]

哀愁~a:attr:n~阴影	sadness~of~shadow
爱~v:obj:n~美	love~of~beauty
爱~v:obj:n~美丽	love~~beautiful
爱~v:obj:n~美人	like~v:mods:d~handsome
爱~v:obj:n~妹妹	dear~~sister;love~v:obj:n~sister
爱~v:obj:n~名望	love~of~fame
爱~v:obj:n~男人	love~v:obj:n~man
爱~v:obj:n~女儿	love~with~daughter
爱~v:obj:n~女孩	love~v:obj:n~girl
爱~v:obj:n~女人	love~~woman
爱~v:obj:n~拼写	love~v:obj:n~spell
爱~v:obj:n~评头品足	fond~of~criticism
爱~v:obj:n~妻子	love~v:obj:n~wife
爱~v:obj:n~气息	love~v:obj:n~smell
爱~v:obj:n~情人	affection~~mistress
爱~v:obj:n~善良	love~~good
爱~v:obj:n~声音	like~~voice
爱~v:obj:n~时光	love~~season
爱~v:obj:n~说笑话	like~v:obj:n~joke
爱~v:obj:n~搜集	treasure~~collect
爱~v:obj:n~听	love~v:obj:n~hear
爱~v:obj:n~未婚夫	love~~time
爱~v:obj:n~想成	love~v:obj:n~think
爱~v:obj:n~虚荣心	love~~vanity
爱~v:obj:n~学生	love~v:obj:n~student
爱~v:obj:n~运动	love~of~exercise
爱~v:obj:n~战争	love~with~war
爱~v:obj:n~真谛	love~~essence
爱~v:obj:n~睁开	love~props~open
爱~v:obj:n~装饰	love~~finery
爱~v:obj:n~姿容	love~~look
爱~v:obj:n~做	like~~do
爱戴~v:obj:n~知识	love~v:obj:n~knowledge
爱抚~v:obj:n~婴儿	cherish~v:obj:n~baby
爱国~a:attr:n~典礼	patriotic~a:attr:n~ceremony
爱国~a:attr:n~乐曲	patriotic~a:attr:n~music
爱好~v:obj:n~大自然	love~~great
爱好~v:obj:n~垒球	love~v:obj:n~baseball
爱好~v:obj:n~权力	like~~authority
爱好~v:obj:n~外交辞令	fond~~diplomacy
爱好~v:obj:n~艺术	fond~of~art
爱好~v:obj:n~音乐	bent~for~music;liking~for~music
爱好~v:obj:n~自由	like~v:obj:n~freedom
爱护~a:attr:n~花蕾	champion~~bud
爱护~v:obj:n~花草	love~of~garden
爱护~v:obj:n~阳春	champion~~springtime
爱恋~a:attr:n~眼泪	passion~of~tear
爱恋~v:obj:n~眼泪	passion~~tear
爱恋~v:obj:n~云	court~v:obj:n~cloud
爱慕~v:obj:n~对象	love~~object
爱起~a:attr:n~狗熊	affection~~bear
爱情~v:mods:d~场面	love~v:mods:d~scene
爱情~v:mods:d~故事	love~v:mods:d~story
爱情~v:mods:d~价值	love~of~value
爱情~v:mods:d~诗	love~v:mods:d~poem
爱情~v:mods:d~需要	love~v:mods:d~need
爱情~v:mods:d~轶事	love~v:mods:d~story
爱情~v:mods:d~游戏	love~~play
爱情~v:mods:d~征服	love~~conquer
爱情~v:mods:d~作品	affectionate~a:attr:n~composition
爱上~a:attr:n~姑娘	love~~girl
爱上~v:obj:n~妇人	love~with~woman
爱上~v:obj:n~女人	love~v:obj:n~woman
爱上~v:obj:n~人	love~~so
爱上~v:obj:n~演员	love~with~actress
爱上~v:obj:n~宗教	love~with~religion
碍事~v:mods:d~变	hindrance~~become
暧昧~a:attr:n~手段	ambiguous~a:attr:n~mean
暧昧~a:attr:n~微笑	ambiguous~a:attr:n~laugh
安安静静~v:mods:d~坐	peace~at~sitting
安定~a:attr:n~表示	security~v:obj:n~represent
安定~a:attr:n~动作	restless~a:attr:n~movement
安定~a:attr:n~愿望	restless~a:attr:n~wish
安定~v:obj:n~动作	restless~~movement
安定~v:obj:n~愿望	restless~~wish
安定下来~a:attr:n~工作	settle~~work
安定下来~v:obj:n~工作	settle~to~work
安度~v:obj:n~晚年	spend~v:obj:n~day
安顿~a:attr:n~身体	compose~~figure
安顿~a:attr:n~事情	settle~~affair
安放~v:obj:n~行李	arrange~v:obj:n~luggage
安放~v:obj:n~炸弹	have~~bomb
安分~a:attr:n~学生们	restless~a:attr:n~student
安抚~v:obj:n~父亲	calm~tind~father
安抚~v:obj:n~批评者	placate~tind~critic
安抚~v:obj:n~人心	ease~v:obj:n~mind
安静~a:attr:n~岛	quiet~a:attr:n~island
安静~a:attr:n~街道	quiet~a:attr:n~street
安静~a:attr:n~早晨	stillness~~morning
安静~v:mods:d~吃	quietly~v:mods:d~feed
安静~v:mods:d~观察	calm~a:attr:n~observation
安静~v:mods:d~过去	quiet~~pass
安静~v:mods:d~忍受	quietly~v:mods:d~bear
安静~v:mods:d~死去	serenity~with~die
安静~v:mods:d~走去	composure~v:obj:n~go
安排~a:attr:n~轻重缓急	establish~~priority
安排~a:attr:n~生活	order~~life
安排~a:attr:n~实验室	arrange~~laboratory
安排~a:attr:n~事	arrangement~~party
安排~v:obj:n~部位	arrange~v:obj:n~part
安排~v:obj:n~船	arrange~v:obj:n~boat
安排~v:obj:n~工作	arrange the work/the task;set~v:obj:n~job;set~v:obj:n~task
安排~v:obj:n~会议	arrange~v:obj:n~meeting
安排~v:obj:n~教	arrange~v:obj:n~teach
安排~v:obj:n~教育	set~~education
安排~v:obj:n~扩充	order~v:obj:n~expansion
安排~v:obj:n~抢救队	arrangement~~rescue
安排~v:obj:n~让步	arrange~~concession
安排~v:obj:n~事情	arrange~v:obj:n~affair
安排~v:obj:n~事务	order~v:obj:n~affair
安排~v:obj:n~事物	order~~take
安排~v:obj:n~万物	settle~v:obj:n~everything
安排~v:obj:n~一切	arrange~tind~everything
安排~v:obj:n~音乐会	arrange~v:obj:n~concert
安排~v:obj:n~约会	arrange~v:obj:n~engagement
安排~v:obj:n~住	arrange~v:obj:n~live
安排成~v:obj:n~图案	arrange~in~pattern
安排好~v:obj:n~跟	line~~with
安排好~v:obj:n~事情	set~v:obj:n~thing
安排好~v:obj:n~业务	arrange~~business
安排好~v:obj:n~一切	settle~~all
安排来~v:obj:n~中途岛	set~v:obj:n~midway
安全~a:attr:n~办法	safe~~way
安全~a:attr:n~保证	security~of~guarantee;the safety guarantee
安全~a:attr:n~标准	safety~v:mods:d~standard;the safety standard;the security standard
安全~a:attr:n~道路	safety~of~path
安全~a:attr:n~地方	safe~a:attr:n~place
安全~a:attr:n~顾问	security~v:mods:d~adviser;the security advisor;the security counselor
安全~a:attr:n~关键	security~to~key
安全~a:attr:n~规定	safety~v:mods:d~rule
安全~a:attr:n~路	safety~of~path
安全~a:attr:n~世界	secure~a:attr:n~world
安全~a:attr:n~天平	safety~of~balance
安全~a:attr:n~转移	safe~a:attr:n~transition
安全~v:mods:d~到达	safely~v:mods:d~arrive
安全~v:mods:d~抵达	safely~v:mods:d~arrive
安全~v:mods:d~规则	safety~v:mods:d~law
安全~v:mods:d~降落	safely~v:mods:d~land
安全~v:mods:d~考虑	security~v:mods:d~reason
安全~v:mods:d~漂下去	safety~in~float
安全~v:mods:d~贮存	safely~v:mods:d~store
安全部~v:mods:d~头子	security~v:mods:d~chief
安全系数~v:mods:d~值	safety~~value
安全性~v:mods:d~问题	safety~v:mods:d~problem
安然~v:mods:d~走到	safely~~get
安上~v:obj:n~电话	install~v:obj:n~telephone
安适~a:attr:n~航行	restful~a:attr:n~voyage
安慰~a:attr:n~发电机	comfortless~a:attr:n~dynamo
安慰~a:attr:n~玫瑰	comfort~~rose
安慰~a:attr:n~声音	soothe~~voice
安慰~v:obj:n~妇女	console~tind~woman
安慰~v:obj:n~孩子	console~tind~child;quiet~v:obj:n~child
安慰~v:obj:n~玫瑰	comfort~~rose
安慰~v:obj:n~男孩	console~tind~boy
安慰~v:obj:n~受难者	console~tind~mourner
安详~a:attr:n~笑容	quiet~a:attr:n~smile
安心~a:attr:n~孩子	uneasy~a:attr:n~child
安心~a:attr:n~神情	relief~of~look
安心~v:mods:d~写	comfort~with~write
安心~v:mods:d~坐了下来	ease~at~sit
安逸~a:attr:n~生活	comfort~of~life
安逸~a:attr:n~享受	calm~a:attr:n~enjoyment
安逸~v:mods:d~生活	comfort~in~live
安营扎寨~a:attr:n~人	camp~locn~man
安置~a:attr:n~房间	put~a:attr:n~room
安置~v:obj:n~孩子	put~v:obj:n~child
安置~v:obj:n~家畜	secure~~one
安装~a:attr:n~计划	installation~for~plan
安装~a:attr:n~天平	mount~a:attr:n~balance
安装~a:attr:n~问题	setting~in~problem
安装~v:obj:n~电话	fit~v:obj:n~telephone
安装~v:obj:n~滑道	fit~with~ramp
安装~v:obj:n~机器	install~v:obj:n~machine
安装~v:obj:n~聚光灯	install~ltopic~floodlight
安装~v:obj:n~两个	set~~two
安装~v:obj:n~模型	mount~v:obj:n~model
安装~v:obj:n~磨耗层	install~~wear
安装~v:obj:n~难民	install~v:obj:n~refugee
安装~v:obj:n~天线	install~v:obj:n~aerial;put~v:obj:n~antenna
安装~v:obj:n~桅杆	fit~v:obj:n~mast
安装~v:obj:n~系统	put~~system;set~tsub~system
安装好~v:obj:n~仪器	fit~v:obj:n~apparatus
桉树~v:mods:d~类	eucalyptus~v:mods:d~species
桉树~v:mods:d~桩	eucalyptus~of~picket
氨基~v:mods:d~生物	amino~~biosynthesis
铵态~v:mods:d~肥料	ammonium~v:mods:d~fertilization
岸~v:mods:d~船	shore~off~ship
岸~v:mods:d~顶	bank~partof~top
岸上~v:mods:d~房子	shore~locn~house
岸上~v:mods:d~岩石	shore~locn~rock
按~v:obj:n~按钮	press~tsub~button;press~v:obj:n~knob
按~v:obj:n~车铃	ring~v:obj:n~bell
按~v:obj:n~电钮	press~v:obj:n~button
按~v:obj:n~喇叭	honk~v:obj:n~horn
按~v:obj:n~门铃	ring~v:obj:n~bell
按动~v:obj:n~电钮	press~~button
按了下去~v:obj:n~盖子	press~down~lid
按时~v:mods:d~到	time~~get
按时~v:mods:d~完成	time~time~complete;time~~finish
按下~v:obj:n~键	press~v:obj:n~key
案~v:mods:d~事实	case~of~fact
案件~v:mods:d~之一	case~~one
胺~v:mods:d~阶段	amine~v:mods:d~stage
胺~v:mods:d~氧化物	amine~v:mods:d~oxide
暗~a:attr:n~洞	dark~a:attr:n~hole
暗~a:attr:n~角	dark~a:attr:n~corner
暗~a:attr:n~云	dark~a:attr:n~cloud
暗~v:mods:d~开始	dim~v:obj:n~begin
暗淡~a:attr:n~冬季	gloomy~a:attr:n~winter
暗淡~a:attr:n~光	dull~a:attr:n~light
暗淡~a:attr:n~光线	dim~a:attr:n~light
暗淡~a:attr:n~门厅	sombre~a:attr:n~hall
暗淡~a:attr:n~色彩	sombre~a:attr:n~colour
暗淡~a:attr:n~阳光	pale~~sunlight
暗淡下来~v:mods:d~变	pale~v:obj:n~become
暗地里~v:mods:d~觉得	dark~~feel
暗含~a:attr:n~保护主义	implicitly~v:mods:d~protectionist
暗含~v:obj:n~保护主义	implicitly~~protectionist
暗弱~a:attr:n~月球	dark~a:attr:n~moon
暗杀~v:obj:n~小队	assassination~~team
暗杀~v:obj:n~总统	assassinate~v:obj:n~president
暗示~a:attr:n~物质	hint~~substantial
暗示~v:obj:n~保持	intimation~about~keep
暗示~v:obj:n~病	indicate~v:obj:n~etiology
暗示~v:obj:n~粗鲁贪婪	imply~~crude
暗示~v:obj:n~得到	hint~v:obj:n~get;hint~~come
暗示~v:obj:n~填充	insinuation~~fill
暗示~v:obj:n~喜欢	evince~v:obj:n~dislike
暗示~v:obj:n~原谅	imply~v:obj:n~forgive
暗示~v:obj:n~走	hint~~leave
暗自~v:mods:d~希望	secretly~v:mods:d~hope
暗自~v:mods:d~抑制	tacit~a:attr:n~restraint
肮脏~a:attr:n~报纸	dirty~a:attr:n~newspaper
肮脏~a:attr:n~表皮	dirty~~surface
肮脏~a:attr:n~勾当	dirty~a:attr:n~business
肮脏~a:attr:n~河流	foul~a:attr:n~river
肮脏~a:attr:n~环境	squalid~a:attr:n~surroundings
肮脏~a:attr:n~人家	squalid~a:attr:n~family
肮脏~a:attr:n~庭院	squalid~a:attr:n~courtyard
肮脏~a:attr:n~衣服	dirty~a:attr:n~clothes
肮脏~a:attr:n~纸片	dirty~~paper
昂贵~a:attr:n~表	expensive~a:attr:n~watch
昂贵~a:attr:n~大衣	expensive~a:attr:n~coat
昂贵~a:attr:n~年度	dear~a:attr:n~year
昂贵~a:attr:n~事业	expensive~a:attr:n~undertaking
昂贵~a:attr:n~威士忌酒	expensive~a:attr:n~whisky
昂贵~a:attr:n~午餐	expensive~a:attr:n~lunch
昂贵~a:attr:n~油船	valuable~a:attr:n~tanker
遨游~v:obj:n~领域	travel~locn~region
熬~a:attr:n~大锅	boil~of~cauldron
翱翔~a:attr:n~猛禽	hover~of~bird
傲~a:attr:n~神情	pride~with~look
傲慢~a:attr:n~贵族们	proud~a:attr:n~noble
傲慢~a:attr:n~阴影	hauteur~of~shade
傲慢~v:mods:d~变	proud~v:obj:n~become
傲慢~v:mods:d~对待	arrogantly~v:mods:d~treat
傲然~v:mods:d~挺起	proudly~v:mods:d~swell
奥妙~a:attr:n~之一	mystery~~one
懊恼~a:attr:n~表情	vexation~~show
巴结~v:obj:n~总统	ingratiate~~president
巴望~v:obj:n~当	shall~~desire
巴望~v:obj:n~调整	expect~v:obj:n~readjust
巴望~v:obj:n~迷失	long~props~lose
巴望~v:obj:n~走开	ache~~go
扒~a:attr:n~口袋	pick~~pocket
扒~v:obj:n~岳父	pick~~father-in-law
扒窃~v:obj:n~钱包	steal~v:obj:n~purse
扒手~v:mods:d~行动	pickpocket~possr~motion
芭蕾舞~v:mods:d~鞋	ballet~v:mods:d~slipper
拔~v:obj:n~枪	draw~v:obj:n~gun
拔~v:obj:n~牙	extract~v:obj:n~tooth
拔出~v:obj:n~刺刀	bare~v:obj:n~bayonet
拔出~v:obj:n~瓶塞	extract~v:obj:n~cork
拔出~v:obj:n~枪	draw~v:obj:n~gun
拔出~v:obj:n~软木塞	draw~v:obj:n~cork
拔除~a:attr:n~树	uproot~~tree
拔除~v:obj:n~需要	uproot~~require
拔掉~v:obj:n~牙	draw~v:obj:n~tooth;rid~~tooth
拔扈~a:attr:n~态度	bossy~a:attr:n~attitude
拔脚~v:mods:d~溜走	heel~to~take
把~v:mods:d~姿势	handlebar~locn~position
把门上~a:attr:n~漆	door~source~paint
把门上~v:obj:n~漆	door~~paint
把握~v:obj:n~现实	grip~on~reality
把握住~v:obj:n~词	grasp~~word
把握住~v:obj:n~机会	seize~v:obj:n~opportunity
把握住~v:obj:n~问题	hold~of~problem
靶~v:mods:d~船	target~v:mods:d~ship
白~a:attr:n~疤	white~a:attr:n~scar
白~a:attr:n~被单	white~a:attr:n~sheet
白~a:attr:n~长袍	white~a:attr:n~robe
白~a:attr:n~长衫	white~a:attr:n~gown
白~a:attr:n~衬衫	the white shirt;white~a:attr:n~shirt
白~a:attr:n~衬衣	a/the white shirt;white~a:attr:n~shirt
白~a:attr:n~粗布	white~a:attr:n~denim
白~a:attr:n~大衣	white~a:attr:n~coat
白~a:attr:n~蛋	white~a:attr:n~egg
白~a:attr:n~房子	white~a:attr:n~house
白~a:attr:n~胳膊	white~a:attr:n~arm
白~a:attr:n~光	white~a:attr:n~light
白~a:attr:n~孩子	white~a:attr:n~boy
白~a:attr:n~黑色	white~a:attr:n~blackness
白~a:attr:n~胡须	white~a:attr:n~beard
白~a:attr:n~花	a/the white flower;white~a:attr:n~flower
白~a:attr:n~花边	white~a:attr:n~lace
白~a:attr:n~花儿	white~a:attr:n~flower
白~a:attr:n~精力	waste~~energy
白~a:attr:n~脸	white~a:attr:n~face
白~a:attr:n~帽子	white~a:attr:n~cap;white~a:attr:n~hat
白~a:attr:n~眉毛	white~a:attr:n~eyebrow
白~a:attr:n~棉线	white~a:attr:n~cotton
白~a:attr:n~盘	white~~disk
白~a:attr:n~盘子	white~a:attr:n~plate
白~a:attr:n~皮肤	the white skin;white~a:attr:n~skin
白~a:attr:n~漆	white~a:attr:n~paint
白~a:attr:n~人	white~a:attr:n~man
白~a:attr:n~纱巾	white~a:attr:n~scarf
白~a:attr:n~手	white~a:attr:n~hand
白~a:attr:n~手帕	white~a:attr:n~handkerchief
白~a:attr:n~手套	the white gloves;white~a:attr:n~glove
白~a:attr:n~手指	white~a:attr:n~finger
白~a:attr:n~霜	white~~frost
白~a:attr:n~兔子	white~a:attr:n~rabbit
白~a:attr:n~外套	white~a:attr:n~coat
白~a:attr:n~外衣	white~a:attr:n~dress
白~a:attr:n~围巾	white~a:attr:n~neckerchief
白~a:attr:n~线	white~a:attr:n~line
白~a:attr:n~星	white~a:attr:n~star
白~a:attr:n~牙	white~a:attr:n~tooth
白~a:attr:n~衣服	white~a:attr:n~dress
白~a:attr:n~衣衫	white~a:attr:n~dress
白~a:attr:n~郁金香	white~a:attr:n~tulip
白~a:attr:n~罩衣	white~a:attr:n~coat
白~a:attr:n~桌布	white~a:attr:n~tablecloth
白~v:mods:d~变	grey~v:obj:n~turn;white~v:obj:n~turn
白~v:mods:d~发	blanch~~drop;whiten~~multiply
白~v:mods:d~光	white~a:attr:n~light
白~v:mods:d~花	white~a:attr:n~flower
白~v:mods:d~激动	white~~passion
白~v:mods:d~领	white~a:attr:n~collar
白~v:mods:d~漆	white~a:attr:n~paint
白~v:mods:d~屋	snowy~a:attr:n~house
白~v:mods:d~转	white~v:obj:n~turn
白菜~v:mods:d~叶子	cabbage~v:mods:d~leaf
白垩~v:mods:d~地区	chalk~v:mods:d~area
白发~v:mods:d~军官	white-haired~a:attr:n~officer
白发~v:mods:d~老人	white-haired~a:attr:n~man
白发~v:mods:d~男子	white-haired~a:attr:n~man
白发苍苍~a:attr:n~脑袋	white~a:attr:n~head
白费~v:obj:n~精神	play~of~spirit
白费~v:obj:n~时间	waste~time~time
白喉~v:mods:d~抗毒素	diphtheria~v:mods:d~antitoxin
白兰地~v:mods:d~酒味	brandy~v:obj:n~smell
白领~a:attr:n~工人	white~~worker
白人~v:mods:d~姑娘	white~a:attr:n~girl
白人~v:mods:d~疾病	white~~disease
白人~v:mods:d~军官	white~a:attr:n~officer
白人~v:mods:d~牧师	white~a:attr:n~priest
白人~v:mods:d~医生	white~a:attr:n~doctor
白人~v:mods:d~殖民者	white~a:attr:n~planter
白人~v:mods:d~自由主义者	white~a:attr:n~liberal
白色~a:attr:n~队伍	white~a:attr:n~company
白色~v:mods:d~疤痕	white~a:attr:n~mark
白色~v:mods:d~斑痕	white~tsub~freckle
白色~v:mods:d~长袍	white~a:attr:n~robe
白色~v:mods:d~翅膀	white~~wing
白色~v:mods:d~大道	white~a:attr:n~road
白色~v:mods:d~阁楼	white~a:attr:n~attic
白色~v:mods:d~海滩	white~a:attr:n~beach
白色~v:mods:d~盒子	white~a:attr:n~box
白色~v:mods:d~假发	white~a:attr:n~wig
白色~v:mods:d~礼服	white~a:attr:n~suit
白色~v:mods:d~披肩	white~a:attr:n~shawl
白色~v:mods:d~上衣	white~a:attr:n~blouse;white~a:attr:n~frock
白色~v:mods:d~天花板	white~a:attr:n~ceiling
白色~v:mods:d~网球	white~~tennis
白色~v:mods:d~小兔	pale~a:attr:n~rabbit
白色~v:mods:d~烟云	white~a:attr:n~smoke
白色~v:mods:d~衣服	white~a:attr:n~clothes
白色~v:mods:d~住宅	white~a:attr:n~house
白色~v:obj:n~队伍	white~~company
白霜~v:mods:d~频率	hoarfrost~v:mods:d~frequency
白铁~v:mods:d~招牌	tin~a:attr:n~sign
白皙~a:attr:n~姑娘	white~a:attr:n~girl
白杨树~v:mods:d~刺	poplar~tsub~pierce
白种~a:attr:n~姐妹	white~a:attr:n~sister
白种~a:attr:n~男人	white~a:attr:n~male
白种~a:attr:n~女人	white~a:attr:n~woman
白种~a:attr:n~沙文主义	white~a:attr:n~chauvinism
白种~a:attr:n~商人	white~a:attr:n~trader
百分之百~v:mods:d~决定	absolutely~v:mods:d~settle
百日咳~v:mods:d~疫苗	pertussis~v:mods:d~vaccine
百万~v:mods:d~人	million~lops~people
百姓~v:mods:d~方面	people~with~side
百折不挠~a:attr:n~精神	unconquerable~a:attr:n~spirit
摆~v:mods:d~杆	pendulum~v:mods:d~boom
摆~v:obj:n~情况	put~v:obj:n~fact
摆~v:obj:n~信件	put~v:mods:d~mail
摆~v:obj:n~重担	put~v:obj:n~burden
摆出~v:obj:n~臭架子	put~v:obj:n~frill
摆出~v:obj:n~架式	put~~posture
摆出~v:obj:n~姿态	put~v:obj:n~manner;put~~position
摆锤~v:mods:d~输出	pendulum~v:mods:d~output
摆动~a:attr:n~磁针	swing~~needle
摆动~a:attr:n~钟	work~~pendulum
摆动~v:obj:n~磁针	swing~~needle
摆动~v:obj:n~手臂	swing~v:obj:n~arm
摆动~v:obj:n~头	bob~v:obj:n~head
摆动~v:obj:n~臀部	sway~v:obj:n~hip
摆动~v:obj:n~钟	work~~pendulum
摆渡~a:attr:n~第一处	ferry~of~first
摆好~v:obj:n~姿势	carefully~~pose
摆了摆~v:obj:n~手指	waggle~v:obj:n~finger
摆了摆~v:obj:n~头	shake~v:obj:n~head
摆明~v:obj:n~情况	put~v:obj:n~case
摆脱~a:attr:n~气	escape~~flow
摆脱~a:attr:n~威胁	removal~~threat
摆脱~a:attr:n~幽灵	escape~~specter
摆脱~v:obj:n~地方	extricate~from~place
摆脱~v:obj:n~监视	escape~v:obj:n~surveillance
摆脱~v:obj:n~教育	escape~~education
摆脱~v:obj:n~军事	escape~~military
摆脱~v:obj:n~摩擦力	rid~of~friction
摆脱~v:obj:n~女人	rid~of~woman
摆脱~v:obj:n~盘问	free~of~inquiry
摆脱~v:obj:n~时代	put~~childhood
摆脱~v:obj:n~睡意	shed~v:obj:n~drowsiness
摆脱~v:obj:n~眼睛	put~~eye
摆脱~v:obj:n~影响	free~~influence
摆脱掉~v:obj:n~责任	divest~~responsibility
败坏~v:obj:n~道德	breach~of~morality;corrupt~v:obj:n~moral
败坏~v:obj:n~战略	undermine~v:obj:n~strategy
败绩~v:mods:d~证据	failure~of~evidence
拜读~v:obj:n~大作	read~v:obj:n~works
拜访~a:attr:n~意义	visit~of~significance
拜访~v:obj:n~老师	visit~v:obj:n~teacher
拜访~v:obj:n~您	visit~v:obj:n~you
拜访~v:obj:n~意义	visit~~significance
拜访~v:obj:n~总督	visit~v:mods:d~governor
拜托~v:obj:n~朋友	ask~tind~friend
拜望~v:obj:n~大主教	visit~to~archbishop
拜望~v:obj:n~人	visit~v:obj:n~lady
扳动~v:obj:n~枪机	pull~v:obj:n~trigger
班机~v:mods:d~号	flight~v:mods:d~number
班级~v:mods:d~小报	class~v:mods:d~bulletin
颁布~v:obj:n~标准	promulgate~v:obj:n~standard
颁布~v:obj:n~方针	promulgate~v:obj:n~guideline
颁发~v:obj:n~奖学金	award~v:obj:n~scholarship
斑斑点点~a:attr:n~镜子	spotty~a:attr:n~mirror
斑驳~a:attr:n~症状	mottle~v:mods:d~symptom
斑点~a:attr:n~桤木	blot~~alder
斑点~v:obj:n~桤木	blot~~alder
搬~v:obj:n~钢琴	move~v:obj:n~piano
搬搬~v:obj:n~钢琴	move~v:obj:n~piano
搬出去~v:obj:n~砂	carry~v:obj:n~sand
搬到~v:obj:n~岸上	go~~shore
搬到~v:obj:n~地球	move~v:obj:n~earth
搬到~v:obj:n~郊区	move~~suburb
搬到~v:obj:n~楼梯	take~locn~stair
搬到~v:obj:n~文字	move~~language
搬动~v:obj:n~桶	move~v:obj:n~bucket
搬进~v:obj:n~办公室	move~into~office;remove~~office
搬进~v:obj:n~别墅	move~into~villa
搬进~v:obj:n~房子	move~into~house;move~to~house
搬进~v:obj:n~公寓	move~into~apartment
搬进~v:obj:n~新楼	remove~~new
搬来搬去~v:obj:n~家具	move~v:obj:n~furniture
搬了进来~v:obj:n~家具	move~v:obj:n~furniture
搬迁~v:obj:n~区	remove~v:obj:n~section
搬运~a:attr:n~岩屑	move~~rock
搬运~v:obj:n~方向	transportation~~direction
搬运~v:obj:n~工人	haulage~~man
搬运~v:obj:n~话语	porter~~language
搬运~v:obj:n~岩屑	move~~rock
搬走~v:obj:n~土壤	remove~~soil
板~a:attr:n~考虑	plate~~consideration
板~v:mods:d~部分	web~~segment
板~v:mods:d~梁	plate~v:mods:d~girder
板材~v:mods:d~质量	lumber~of~quality
板块~v:mods:d~厚度	plate~v:mods:d~thickness
板上~a:attr:n~珠宝	shelf~~jewel
板上~v:obj:n~珠宝	shelf~~jewel
办~a:attr:n~事	do~props~nothing
办~v:obj:n~方式	do~v:obj:n~way
办~v:obj:n~事	do~v:obj:n~nothing
办~v:obj:n~事情	do~v:obj:n~job;run errons; do things
办成~v:obj:n~学校	constitute~lcmp~school
办出~v:obj:n~蠢事	do~~silly
办法~v:mods:d~之一	way~~one
办公~a:attr:n~时间	office~locn~time
办公室~v:mods:d~保险柜	office~~safe
